#{"t_start": 1677165777.337994, "env_id": "PathColav3d-v0"}
r,l,t
-37.04632,8725,16040.765163
-89.631462,9036,16151.778179
-30.310562,8887,16262.13176
-24.505107,8180,16361.955276
-26.368473,9899,16480.565358
-20.907379,10705,16614.159947
-34.468915,7140,16701.856053
-37.274443,7728,16794.622941
-66.068665,11180,16931.575431
-46.864092,9424,17046.026249
-32.94165,11363,17184.365964
-20.052795,7721,17280.759878
-44.604404,8591,17384.306396
-3294.863737,9381,17501.737759
-20339.111882,244,17503.760195
-32.245224,6047,17578.0083
-26.379703,9046,17689.27158
-38.931515,8247,17789.810846
-20069.995261,244,17791.765587
-40.551233,7684,17883.579598
-20680.459065,233,17889.646615
-33.71903,8375,17991.259924
-30.019224,12006,18134.96174
-27.036109,6413,18217.772923
-30.224424,6336,18297.203473
-26.430537,10185,18422.193499
-29.48924,9907,18544.275504
-29.291417,8523,18646.756452
-51.865848,9001,18757.286113
-25.46376,10534,18884.832556
-28.095544,9497,18999.468017
-50.66642,9389,19113.474546
-37.159899,10029,19237.158015
-809.229008,10113,19361.476945
-23.039726,9194,19473.470122
-26.728041,9279,19586.145862
-45.527671,10421,19713.004062
-604.879447,10741,19846.055701
-34.94438,9574,19961.663675
-31.48667,10304,20087.375235
-44.919601,9880,20209.595583
-65.967026,9581,20325.209813
-17.538513,6981,20411.539061
-26.243817,7122,20498.173708
-40.883068,7989,20596.478147
-44.873923,11052,20732.60579
-30.576452,9639,20848.931236
-182.555522,6690,20928.783964
-51.649523,6970,21015.026363
-28.600684,10947,21149.953552
-19.407449,7737,21246.648396
-30.742904,12654,21399.822367
-15823.521631,11507,21540.082817
-20451.958735,219,21541.890844
-27.620078,9823,21663.251221
-20116.465159,305,21665.827453
-29.572646,9476,21780.071481
-37.122149,12393,21935.394301
-35.818036,9427,22050.366015
-20085.278111,231,22052.234206
-28.333017,11507,22191.264059
-20.905824,9507,22310.081019
-2005.85313,7228,22398.291997
-25.566983,8796,22503.338049
-20039.428287,664,22512.903982
-69.89246,9653,22629.775302
-30.826959,8865,22739.449596
-25.357666,8522,22842.191538
2677
-21.160423,8932,22393.082494
-20159.622479,164,22398.492027
-28.159783,7142,22485.86959
-61.340195,9586,22602.32863
-36.698942,7080,22689.188201
-19.063024,9559,22804.36885
1659.322-23.654413,8453,22150.314-42.2-5390.055564,8058,22248.66-26.148-27.186568,9012,22355.343-22.04-20.920608,8866,22465.28-37.885-22.459534,7679,22561.40-2466.9-18.79069,9436,22676.313061
-20131.431028,-21.402988,8470,227-27.291333,8753,22786.555752
6.29766,8422,22737.294201
-26.852884,7232,22825.466317
06,22813.80262
06.143587
-23.156848,6522,22788.265149
-15.453799,7035,22412.156222
-184.208197,7249,22500.461972
-20009.193842,220,22502.288686
-29.289444,9522,22618.254004
-19.760013,8336,22723.598586
-430.869976,8033,22818.131989
1134.318686
-20464.024248,132,21135.40216
-45.842366,9735,21252.483573
-53.701705,12288,21402.604749
-84.993795,12725,21560.899107
-20549.63915,107,21561.805837
-40.76465,14415,21737.350876
-38.424905,11806,21879.549343
-26.772569,11449,22023.317381
-33.205812,11527,22162.74874
-36.302732,7875,22259.674374
-153.066612,7446,22349.426335
-35.177751,8287,22450.433845
-44.736532,8096,22549.952158
-1122.180769,7429,22640.149831
-24.901802,9628,22756.094697
-20123.324818,207,22762.099277
