Wall time,Step,Value
1714997403.9886656,16384,-54.70372009277344
1714997542.9447198,32768,34.35926055908203
1714997681.401409,49152,-50.62409973144531
1714997820.4158993,65536,-9.193877220153809
1714997959.5484967,81920,31.519332885742188
1714998098.0978544,98304,-53.381317138671875
1714998237.5585513,114688,32.020198822021484
1714998376.000438,131072,32.457550048828125
1714998514.5975046,147456,32.69434356689453
1714998654.4805613,163840,32.84196853637695
1714998793.9156723,180224,32.28318786621094
1714998933.6906934,196608,-52.70592498779297
1714999072.84293,212992,32.15470504760742
1714999212.426611,229376,-51.511817932128906
1714999351.8499486,245760,32.74046325683594
1714999491.1513474,262144,32.56705093383789
1714999630.909517,278528,32.961822509765625
1714999770.1849294,294912,32.93037414550781
1714999909.3274734,311296,-55.21980667114258
1715000048.8941379,327680,33.06321716308594
1715000188.4018967,344064,32.6158561706543
1715000327.6537335,360448,31.08963966369629
1715000466.6700325,376832,32.79399108886719
1715000605.8376014,393216,32.2510986328125
1715000739.1496427,409600,32.542457580566406
1715000868.5164945,425984,32.41616439819336
1715000997.881402,442368,32.61052322387695
1715001128.9985101,458752,32.81241989135742
1715001258.9597049,475136,-51.033382415771484
1715001388.496601,491520,32.884944915771484
1715001517.6404707,507904,32.5345573425293
1715001647.480266,524288,32.740535736083984
1715001775.6099544,540672,33.28472137451172
1715001904.7442293,557056,32.72040557861328
1715002034.4743638,573440,33.09117126464844
1715002163.7291243,589824,31.477134704589844
1715002292.9766011,606208,32.825748443603516
1715002422.3278966,622592,34.31142807006836
1715002550.1855457,638976,-52.544437408447266
1715002679.6808338,655360,32.74960708618164
1715002808.4413543,671744,-51.30156326293945
1715002937.4300277,688128,-55.98288345336914
1715003067.1338608,704512,32.94874954223633
1715003196.368013,720896,-50.03989791870117
1715003329.298507,737280,-51.34257888793945
1715003468.4768481,753664,33.95037841796875
1715003608.3859909,770048,34.530277252197266
1715003742.5799882,786432,32.35488510131836
1715003874.3680148,802816,30.566511154174805
1715004004.368377,819200,32.548763275146484
1715004133.6550438,835584,32.04648208618164
1715004262.4829013,851968,-54.504573822021484
1715004391.7880585,868352,32.593719482421875
1715004524.2815318,884736,32.43888854980469
1715004653.6755424,901120,32.44390869140625
1715004782.6497235,917504,32.65041732788086
1715004912.2844894,933888,-51.92897033691406
1715005041.8845482,950272,33.081504821777344
1715005172.2445595,966656,32.5377311706543
1715005306.5866096,983040,-50.97462844848633
1715005445.188171,999424,34.69527816772461
1715005581.5019848,1015808,34.439857482910156
