Wall time,Step,Value
1714989447.339789,32768,-56.819637298583984
1714989576.1432045,49152,-52.1401252746582
1714989705.114772,65536,31.691598892211914
1714989834.0424592,81920,-55.131107330322266
1714989961.6959922,98304,-51.66991424560547
1714990089.833962,114688,-51.4700813293457
1714990217.9639342,131072,31.090314865112305
1714990346.0718882,147456,-57.70149612426758
1714990474.7297752,163840,-2.884216785430908
1714990602.4507515,180224,-52.08810043334961
1714990730.8615086,196608,-52.9627799987793
1714990858.8364244,212992,30.980119705200195
1714990987.003642,229376,-52.44858169555664
1714991115.7101698,245760,-52.38383102416992
1714991243.1176128,262144,31.146026611328125
1714991371.247798,278528,32.3792724609375
1714991499.8412454,294912,32.73912048339844
1714991628.0709002,311296,-52.865074157714844
1714991756.8107922,327680,31.49155616760254
1714991884.5519245,344064,32.041805267333984
1714992012.8653913,360448,30.062891006469727
1714992140.836927,376832,-52.41642379760742
1714992268.723642,393216,30.531658172607422
1714992397.033621,409600,-53.803462982177734
1714992525.934489,425984,32.17381286621094
1714992654.6925738,442368,30.16786003112793
1714992792.703323,458752,32.12116622924805
1714992922.2010665,475136,32.35708999633789
1714993052.4821389,491520,-53.64128494262695
1714993181.9153142,507904,32.49861526489258
1714993310.014793,524288,-51.85948944091797
1714993439.3069637,540672,32.47189712524414
1714993569.4476058,557056,-51.930660247802734
1714993698.6351433,573440,32.3397216796875
1714993827.2650924,589824,-52.4858512878418
1714993956.3545833,606208,-52.919376373291016
1714994086.2863812,622592,-51.59968566894531
1714994214.3810005,638976,34.13214874267578
1714994343.8752832,655360,32.02004623413086
1714994471.77961,671744,32.78235626220703
1714994600.6262326,688128,31.093538284301758
1714994727.9127932,704512,32.68959426879883
1714994856.8231502,720896,31.853351593017578
1714994985.4450226,737280,-53.346580505371094
1714995114.1258163,753664,31.25049591064453
1714995244.0951102,770048,33.40578079223633
1714995373.1741242,786432,32.54051208496094
1714995503.1938298,802816,32.407615661621094
1714995632.1205335,819200,33.61683654785156
1714995762.333237,835584,34.50116729736328
1714995894.2233038,851968,32.85407257080078
1714996035.2714334,868352,32.63140869140625
1714996166.2518253,884736,-51.67319869995117
1714996298.762668,901120,32.515872955322266
1714996432.4070134,917504,34.112640380859375
1714996563.4743967,933888,32.79731369018555
1714996692.7378972,950272,34.47254943847656
1714996827.3624582,966656,32.453369140625
1714996965.8895917,983040,33.7548713684082
1714997104.6547723,999424,32.434814453125
1714997243.0839431,1015808,32.4690055847168
