Wall time,Step,Value
1715109309.9046936,16384,-52.78348159790039
1715109453.445574,32768,32.70005798339844
1715109595.7923777,49152,32.865318298339844
1715109739.1446986,65536,33.60508728027344
1715109882.108976,81920,34.531558990478516
1715110024.7733629,98304,34.58597183227539
1715110168.345095,114688,-52.80625915527344
1715110310.648314,131072,32.7895393371582
1715110453.7300997,147456,-50.51136779785156
1715110597.358333,163840,34.746315002441406
1715110740.9596665,180224,34.71959686279297
1715110884.4112809,196608,34.55601119995117
1715111027.08069,212992,32.52585983276367
1715111169.3904274,229376,-51.615108489990234
1715111311.6783772,245760,-53.734954833984375
1715111453.7427359,262144,-53.4243049621582
1715111595.4803462,278528,34.73220443725586
1715111737.2773042,294912,34.52242660522461
1715111879.3064399,311296,34.682701110839844
1715112021.9690175,327680,-52.451072692871094
1715112164.3186328,344064,32.372562408447266
1715112306.9455419,360448,32.847900390625
1715112449.1388316,376832,34.75994873046875
1715112591.0835223,393216,33.6367073059082
1715112733.116581,409600,32.6452751159668
1715112874.3905556,425984,34.21070098876953
1715113015.8624966,442368,-52.5917854309082
1715113157.5202868,458752,32.32752990722656
1715113299.7522514,475136,-50.44072723388672
1715113441.346756,491520,32.096641540527344
1715113584.1594338,507904,34.23371505737305
1715113725.9613342,524288,30.339019775390625
1715113868.665469,540672,34.651390075683594
1715114010.8860207,557056,34.228546142578125
1715114152.8531358,573440,32.529327392578125
1715114294.8753676,589824,32.680397033691406
1715114436.1913116,606208,33.05781555175781
1715114578.0060644,622592,-50.552215576171875
1715114720.6080434,638976,34.703880310058594
1715114862.6614068,655360,33.173194885253906
1715115004.526645,671744,32.81068420410156
1715115146.4819202,688128,-53.91363525390625
1715115288.0775597,704512,30.670927047729492
1715115430.880828,720896,32.42745590209961
1715115572.279613,737280,-50.18602752685547
1715115713.4278007,753664,32.719512939453125
1715115855.6899433,770048,34.5894660949707
1715115997.109052,786432,34.667327880859375
1715116139.8897216,802816,-55.54688262939453
1715116281.3666477,819200,33.2215461730957
1715116423.3496745,835584,32.809139251708984
1715116565.1625245,851968,34.0235595703125
1715116707.369941,868352,33.53129577636719
1715116849.1902554,884736,32.67279815673828
1715116991.0325634,901120,-54.02699279785156
1715117132.9036741,917504,34.6018180847168
1715117275.1646404,933888,-54.354576110839844
1715117417.003346,950272,32.50668716430664
1715117559.0791404,966656,32.42216873168945
1715117701.245767,983040,33.0293083190918
1715117843.9525945,999424,-50.893104553222656
1715117985.5478706,1015808,32.76258850097656
