Wall time,Step,Value
1715092194.4292815,32768,-54.907325744628906
1715092335.9116504,49152,-50.561153411865234
1715092476.330236,65536,-51.48725128173828
1715092618.2476315,81920,-49.985626220703125
1715092759.3162763,98304,32.34165573120117
1715092900.3902388,114688,32.79659652709961
1715093042.0559082,131072,33.12156295776367
1715093183.456802,147456,32.83262252807617
1715093325.0249176,163840,32.55518341064453
1715093466.7321162,180224,32.689186096191406
1715093608.718153,196608,-52.35280990600586
1715093750.4780467,212992,32.7210578918457
1715093891.5574403,229376,32.682518005371094
1715094034.2616737,245760,32.34975814819336
1715094176.1445603,262144,34.65597915649414
1715094317.6740828,278528,32.86574935913086
1715094459.5654242,294912,33.677040100097656
1715094600.8776996,311296,32.54587173461914
1715094742.471196,327680,32.338401794433594
1715094883.83752,344064,32.58681106567383
1715095025.5027301,360448,32.63102340698242
1715095166.6233418,376832,32.92146682739258
1715095308.295025,393216,32.83007049560547
1715095450.5827725,409600,32.57796096801758
1715095592.086761,425984,32.73136520385742
1715095733.5658283,442368,32.660953521728516
1715095875.1685574,458752,34.422401428222656
1715096016.9561243,475136,32.19971466064453
1715096159.3289125,491520,32.895198822021484
1715096300.7228596,507904,31.859664916992188
1715096442.053439,524288,32.49858856201172
1715096583.559418,540672,32.88362503051758
1715096725.3072126,557056,33.102787017822266
1715096868.6601963,573440,34.46992874145508
1715097008.5239596,589824,33.53474807739258
1715097146.9808488,606208,-52.201053619384766
1715097285.03979,622592,32.047576904296875
1715097423.0067406,638976,32.34778594970703
1715097561.553135,655360,32.59994125366211
1715097699.2938812,671744,33.063392639160156
1715097837.5604308,688128,34.72370910644531
1715097975.620914,704512,33.520023345947266
1715098114.0114448,720896,32.50758743286133
1715098251.824148,737280,34.81221389770508
1715098390.1179829,753664,32.2459831237793
1715098528.1784465,770048,32.72965621948242
1715098666.146873,786432,34.62034225463867
1715098805.2396312,802816,33.69377517700195
1715098944.15487,819200,32.7439079284668
1715099082.5354002,835584,32.70725631713867
1715099219.99235,851968,32.53789520263672
1715099358.219086,868352,32.674285888671875
1715099497.1841898,884736,33.08921432495117
1715099635.391861,901120,34.20631790161133
1715099773.7112741,917504,34.551578521728516
1715099911.4742048,933888,34.64820098876953
1715100048.9039237,950272,32.59955596923828
1715100186.8168192,966656,32.292728424072266
1715100324.411117,983040,32.43373489379883
1715100461.2034938,999424,34.33732986450195
1715100598.2018933,1015808,32.84288024902344
