#{"t_start": 1678118256.5334117, "env_id": "PathColav3d-v0"}
r,l,t
-20152.887073,4487,382.513767---20148.287263,4854,733.340326--20114.640903,3755,969.023401---20054.396733,4751,1627.190524--20149.507492,4395,2039.726314-2-20182.123267,2179,2283.055151-20013.333833,6251,2893.675712
-20083.182414,4415,3304.235363
-20182.29792,1196,3430.363708
-20045.601289,3362,3835.459835
-20095.013555,4931,4398.571947
-20117.422296,3803,4833.419117
-20074.313886,893,4945.748519
-20152.500752,3780,5363.26866
-20102.886607,1267,5423.169111
-20340.877619,921,5524.53368
-20117.671551,2511,5896.115241
-200-20166.018461,2416,6087.84043-20187.410832,3692,6398.565267
-20103.47333,1879,6670.058383
-20151.716248,2141,6859.629958
-20093.573533,1672,7092.961136
-20020.427824,3335,7430.057897
-20110.599222,2361,7744.859205
-20219.547199,759,7784.43024
-200-20000.63688,6401,8334.061655-20133.769383,4131,8552.066404
-2-20175.453295,2971,8803.686608-2-20036.426294,2964,9211.59773--20092.062143,5265,9829.665415
-20018.598135,1536,10014.003884
-20069.637585,1153,10157.656954-2-20055.232952,1741,10366.397825--20092.85119,3947,10695.089337
-20326.39283,4488,10969.866586
--20039.243834,4531,11513.602942-20059.814458,4946,11774.536749
-20095.324918,5930,12664.042147
-20096.002517,3979,13307.607523
-20002.087935,10996,14607.648208
--20120.854257,13467,14987.787643-2-20004.897675,4893,15486.888236
-20125.586549,1395,15656.2213
-20003.20644,4628,16143.455964--20104.962807,2127,16363.05592
-20090.602696,2383,16598.623282
-20214.109086,3812,16892.097943-20144.122998,5428,17335.05181
-20130.748014,11282,18504.650572
-20037.764289,1720,18723.889903
-20046.999412,3317,19160.316791
-20107.172825,1958,19422.336421
-20024.010909,4410,19969.845885
-20063.949901,1975,20111.828187
--20000.739454,6529,20493.614069--20048.568087,3864,20902.838201-2-20043.838916,7266,21876.951474-20268.88696,4568,22144.325896
-20170.54207,3909,22683.472192
-20135.265507,3485,23066.715941
-20024.123073,6408,23813.30065
-201-20001.731015,4827,24168.6061-2022-20027.172028,2938,24560.7387-2012-20250.400881,4719,25118.04081
-20074.042994,2157,25206.273404
-20115.611706,1533,25372.207471
-20228.609661,4081,25991.35436
-11588.301001,5847,26811.086143
-20615.669291,1848,27019.547526
-20341.554098,1387,27071.369404
-2-20012.430808,11991,27840.04202
-20004.972177,7143,28567.039486
-20035.662792,6364,29446.605945
-20043.750192,705,29475.514002
-20011.096275,3063,29802.147549
-20091.138808,1258,29949.929903
-20506.046136,1300,30115.549112
-21051.678956,1314,30281.460381
-20119.947818,2287,30604.151-20200.892952,7644,31009.26346
-20332.783364,1697,31145.13694
-20291.331226,2068,31395.275249
-20058.2957,3723,31761.293994
-20149.6-20130.737862,8095,32081.-20000.368461,5705,32452.755909
-20033.59622,1810,32617.707905
-20002.027159,4877,33335.954833
-20010.46655,12049,34768.604963
-20004.921039,4973,35387.995806
-20-20001.172054,13583,35848.861209
-20171.645968,4813,36390.92879
-20000.322636,6335,36877.702512
-20026.420555,7120,37847.467373
-20114.401901,3435,37957.516573
-20108.778465,4197,38295.716469-20-20100.763632,3977,38612.851521-20-20003.023911,3257,38980.674935-20-20088.370122,4032,39059.279591
-20093.87615,3677,39141.357731-20001.492848,11259,39503.361735
--20060.047586,8835,40421.466348--20063.649023,5808,41040.859814
-20009.15302,3548,41429.40306
-20000.187325,8328,42268.097967
-20185.954811,947,42359.357133
-20000.431974,2698,42707.483904
-20178.026153,5930,43566.465197
--20097.229012,9617,44488.594859--11348.079346,6577,45537.885168--20000.339451,10041,47028.484942-2-20438.897566,4909,47535.606487-20-20026.427994,2653,48016.595919
-20001.313682,6020,48795.973165
-20010.367123,2441,49148.874354
-20057.903481,9954,50828.26865
-20038.227449,2826,51393.071916
-20076.622737,3350,51904.562585
-20000.274898,17471,54138.444797
-20000.486216,8514,55087.750784
-6680.674489,12193,56775.287159
-20380.357929,1220,56921.973782
-20202.986902,2608,57228.621732
-20000.678422,12620,59136.338619
-20216.119615,904,59277.814284
-20204.193123,823,59418.883974
-20064.153205,1317,59639.486399
-20046.188351,2362,59954.125398
-20131.450841,2348,60249.128392
-20090.746069,6794,61080.873168
-20190.76613,4477,61582.048873
-20002.915904,7056,62558.936193
-20000.238265,11775,64137.330662
-20178.037831,6155,65204.8255
-20079.579336,11810,67050.891895
-20103.572281,5316,67721.031927
-20041.898352,9273,68920.96056
-20002.574066,5412,69536.381303
-20033.134736,3878,69962.716976
