,scenario,timestep,collision_rate
3,proficient,12703344,0.25581395626068115
4,proficient,12727920,0.4166666567325592
5,proficient,12752496,0.25
6,proficient,12777072,0.31578946113586426
7,proficient,12801648,0.3636363744735718
8,proficient,12826224,0.30434781312942505
9,proficient,12850800,0.3333333432674408
10,proficient,12875376,0.3214285671710968
11,proficient,12899952,0.302325576543808
12,proficient,12924528,0.2708333432674408
13,proficient,12949104,0.3139534890651703
14,proficient,12973680,0.43478259444236755
15,proficient,12998256,0.5
16,proficient,13022832,0.28999999165534973
17,proficient,13047408,0.46590909361839294
18,proficient,13071984,0.39024388790130615
19,proficient,13096560,0.4000000059604645
20,proficient,13121136,0.42105263471603394
21,proficient,13145712,0.38461539149284363
22,proficient,13170288,0.41999998688697815
23,proficient,13194864,0.3444444537162781
24,proficient,13219440,0.3541666567325592
25,proficient,13244016,0.27906978130340576
26,proficient,13268592,0.359375
27,proficient,13293168,0.3181818127632141
28,proficient,13317744,0.21739129722118378
0,advanced,17902824,0.5277777910232544
1,advanced,17927400,0.36000001430511475
2,advanced,17951976,0.4000000059604645
3,advanced,17976552,0.5263158082962036
4,advanced,18001128,0.23999999463558197
5,advanced,18025704,0.3333333432674408
6,advanced,18050280,0.3529411852359772
7,advanced,18074856,0.5
8,advanced,18099432,0.5263158082962036
9,advanced,18124008,0.30000001192092896
10,advanced,18148584,0.5652173757553101
11,advanced,18173160,0.5
12,advanced,18197736,0.3484848439693451
13,advanced,18222312,0.484375
14,advanced,18246888,0.4000000059604645
15,advanced,18271464,0.3333333432674408
16,advanced,18296040,0.3928571343421936
17,advanced,18320616,0.32758620381355286
18,advanced,18345192,0.3589743673801422
19,advanced,18369768,0.4390243887901306
20,advanced,18394344,0.3636363744735718
21,advanced,18418920,0.5
22,advanced,18443496,0.4444444477558136
23,advanced,18468072,0.4000000059604645
24,advanced,18492648,0.44117647409439087
25,advanced,18517224,0.380952388048172
26,advanced,18541800,0.44736841320991516
27,advanced,18566376,0.3513513505458832
28,advanced,18590952,0.47727271914482117
29,advanced,18615528,0.3947368562221527
30,advanced,18640104,0.4285714328289032
31,advanced,18664680,0.40625
32,advanced,18689256,0.3611111044883728
33,advanced,18713832,0.44999998807907104
34,advanced,18738408,0.5454545617103577
35,advanced,18762984,0.38461539149284363
36,advanced,18787560,0.3658536672592163
37,advanced,18812136,0.34210526943206787
38,advanced,18836712,0.35555556416511536
39,advanced,18861288,0.4000000059604645
40,advanced,18885864,0.5405405163764954
41,advanced,18910440,0.4791666567325592
42,advanced,18935016,0.5227272510528564
43,advanced,18959592,0.4318181872367859
44,advanced,18984168,0.43589743971824646
45,advanced,19008744,0.2702702581882477
46,advanced,19033320,0.3720930218696594
