#{"t_start": 1678873007.9987392, "env_id": "WaypointPlanner-v0"}
r,l,t
-386.015626,5266,15760.514375
-5937.869082,5583,15815.865101
-637.352912,5335,15871.124926
-3961.862127,5565,15925.434129
-25.727667,5270,15978.509491
-4337.898899,5356,16031.385595
-3095.245832,4849,16080.162391
-55.198854,5227,16132.270901
-37.702954,6151,16194.795174
-3844.452228,6398,16258.7107
-32.108096,6501,16325.493183
-860.830456,7052,16397.295506
-6798.944937,6351,16459.613169
-93.169343,6504,16523.318233
-5955.781291,6302,16587.291754
-4047.858333,6630,16655.858543
-212.308703,6734,16722.268207
-33.999944,7673,16799.834292
-6927.407748,7867,16880.826679
-31.146811,6627,16945.887693
-34.70724,6344,17009.585443
-27.025407,7146,17082.099953
-1578.911145,6843,17151.992708
-399.695912,8083,17235.04227
,16788.43658
-49.894878,7938,16869.690275
-44.850632,7068,16938.243116
-33.599034,6091,16999.635559
-80.679934,6674,17068.593486
-419.698758,6869,17138.796556
-378.559473,8126,17221.863699
6385,17107.704416
-29.352996,6859,17174.813243
1,7757,16810.200912
-55.234286,8054,16892.656956
--29.781358,7240,16941.642256
-27.12693,6367,17005.502581
-1608.03862,6894,17075.955269
-436.900043,6841,17143.582192
-870.963202,8183,17227.245183
7905.469748,7411,17162.431221
,67,17104.249269
-214.667596,7344,17180.135365
71.-987.3741-225.645166,6045,17030.-366.8903-701.755414,6931,17101.-1126.649-35.902731,7124,17173.690754
425826,78,17140.464837
-18961.794806,8777,17228.884601
