Wall time,Step,Value
1714754608.2126467,16384,-52.83628845214844
1714754731.5807905,32768,32.228450775146484
1714754853.8717809,49152,-50.944889068603516
1714754975.6784484,65536,-51.8683967590332
1714755098.4893386,81920,32.42945098876953
1714755220.8065786,98304,32.01534652709961
1714755342.9418554,114688,32.2623291015625
1714755465.0358582,131072,31.961994171142578
1714755587.9301991,147456,32.85698318481445
1714755711.483367,163840,32.323143005371094
1714755832.1727698,180224,31.793132781982422
1714755955.4955516,196608,32.48013687133789
1714756078.4605777,212992,34.271827697753906
1714756200.1740186,229376,-52.13315963745117
1714756322.709641,245760,-50.54317855834961
1714756445.5940533,262144,32.80719757080078
1714756567.1730413,278528,32.29551696777344
1714756689.7032187,294912,32.476295471191406
1714756811.9425328,311296,32.248199462890625
1714756933.9002435,327680,32.482513427734375
1714757056.4452076,344064,-53.69183349609375
1714757179.953815,360448,32.34328079223633
1714757301.8602436,376832,31.964284896850586
1714757424.3095727,393216,34.2494010925293
1714757547.484071,409600,-54.742530822753906
1714757669.2071118,425984,32.57462692260742
1714757791.3076644,442368,32.59608459472656
1714757913.7199209,458752,32.65568161010742
1714758035.059279,475136,32.5898551940918
1714758158.5384588,491520,32.49454879760742
1714758281.4800081,507904,32.47127914428711
1714758402.7925153,524288,32.39750289916992
1714758525.524654,540672,-52.67198944091797
1714758648.8761356,557056,32.367584228515625
1714758770.8508863,573440,32.462074279785156
1714758893.947538,589824,32.36253356933594
1714759016.580922,606208,32.67897415161133
1714759137.9697077,622592,32.406131744384766
1714759260.1771855,638976,32.2808837890625
1714759382.5525131,655360,31.963571548461914
1714759505.918845,671744,32.355003356933594
1714759626.9406252,688128,32.28948974609375
1714759749.3723502,704512,-52.295799255371094
1714759870.5262992,720896,32.77293014526367
1714759992.4521563,737280,31.436782836914062
1714760113.6082613,753664,32.563385009765625
1714760236.2967901,770048,32.699501037597656
1714760359.1383033,786432,32.48174285888672
1714760481.1049469,802816,32.18024826049805
1714760603.8213882,819200,32.68659973144531
1714760725.8917773,835584,32.777732849121094
1714760848.544183,851968,34.19987487792969
1714760970.566241,868352,32.75570297241211
1714761093.2621942,884736,31.547338485717773
1714761216.6217058,901120,-51.476715087890625
1714761339.4066167,917504,-56.12364959716797
1714761461.600965,933888,31.038265228271484
1714761584.9514244,950272,32.534000396728516
1714761708.1237917,966656,32.4462776184082
1714761831.711777,983040,34.50170135498047
1714761954.8604121,999424,32.64749526977539
1714762077.6722226,1015808,32.06209945678711
